ID,เลขที่บิล,ประเภทรายการ,รายการ,น้ำหนักเข้า,น้ำหนักออก,น้ำหนักสุทธิ,จำนวน,หน่วย,ราคา,รวมเงิน
1781953027302-1,260620-020,รายการยาง,ชั่ง1,122,0,122,,,40.5,4941
1782001439570-1,260621-001,รายการยาง,ชั่ง1,83,0,83,,,40,3320
1782013037191-1,260621-002,รายการยาง,ชั่ง1,171,0,171,,,40.5,6925
1782013074997-1,260621-003,รายการยาง,ชั่ง1,154,0,154,,,42,6468
1782022885661-1,260621-004,รายการยาง,ชั่ง1,285,0,285,,,42,11970
1782092320777-1,260622-001,รายการยาง,ชั่ง1,463,0,463,,,41,18983
1782100365520-1,260622-002,รายการยาง,ชั่ง1,83,0,83,,,42,3486
1782105422234-1,260622-003,รายการยาง,ชั่ง1,170,0,170,,,39.5,6715
1782105483095-1,260622-004,รายการยาง,ชั่ง1,82,0,82,,,42,3444
1782106769412-1,260622-005,รายการยาง,ชั่ง1,209,0,209,,,40.5,8464
1782115792444-1,260622-006,รายการยาง,ชั่ง1,98,0,98,,,38.5,3773
1782115881246-1,260622-007,รายการยาง,ชั่ง1,136.5,0,136.5,,,40.5,5528
1782119894239-1,260622-008,รายการยาง,ชั่ง1,108,0,108,,,40,4320
